year,level,state,county,geoid,name,variable,estimate,moe
2022,1_state,NA,NA,09,Connecticut,B25003_001,1409807,3257
2022,1_state,NA,NA,09,Connecticut,B25003_002,932588,6341
2022,1_state,NA,NA,09,Connecticut,B25003_003,477219,4954
2022,2_county,Connecticut,NA,09110,Capitol COG,B25003_001,386549,1438
2022,2_county,Connecticut,NA,09110,Capitol COG,B25003_002,252141,2407
2022,2_county,Connecticut,NA,09110,Capitol COG,B25003_003,134408,2259
2022,2_county,Connecticut,NA,09120,Greater Bridgeport COG,B25003_001,117497,791
2022,2_county,Connecticut,NA,09120,Greater Bridgeport COG,B25003_002,77956,1329
2022,2_county,Connecticut,NA,09120,Greater Bridgeport COG,B25003_003,39541,1275
2022,2_county,Connecticut,NA,09130,Lower Connecticut River Valley COG,B25003_001,73084,648
2022,2_county,Connecticut,NA,09130,Lower Connecticut River Valley COG,B25003_002,54922,843
2022,2_county,Connecticut,NA,09130,Lower Connecticut River Valley COG,B25003_003,18162,779
2022,2_county,Connecticut,NA,09140,Naugatuck Valley COG,B25003_001,177656,854
2022,2_county,Connecticut,NA,09140,Naugatuck Valley COG,B25003_002,119006,1875
2022,2_county,Connecticut,NA,09140,Naugatuck Valley COG,B25003_003,58650,1785
2022,2_county,Connecticut,NA,09150,Northeastern Connecticut COG,B25003_001,38574,459
2022,2_county,Connecticut,NA,09150,Northeastern Connecticut COG,B25003_002,28696,583
2022,2_county,Connecticut,NA,09150,Northeastern Connecticut COG,B25003_003,9878,693
2022,2_county,Connecticut,NA,09160,Northwest Hills COG,B25003_001,45976,549
2022,2_county,Connecticut,NA,09160,Northwest Hills COG,B25003_002,34234,762
2022,2_county,Connecticut,NA,09160,Northwest Hills COG,B25003_003,11742,757
2022,2_county,Connecticut,NA,09170,South Central Connecticut COG,B25003_001,226154,1210
2022,2_county,Connecticut,NA,09170,South Central Connecticut COG,B25003_002,137967,2046
2022,2_county,Connecticut,NA,09170,South Central Connecticut COG,B25003_003,88187,2067
2022,2_county,Connecticut,NA,09180,Southeastern Connecticut COG,B25003_001,113810,765
2022,2_county,Connecticut,NA,09180,Southeastern Connecticut COG,B25003_002,75262,1170
2022,2_county,Connecticut,NA,09180,Southeastern Connecticut COG,B25003_003,38548,1198
2022,2_county,Connecticut,NA,09190,Western Connecticut COG,B25003_001,230507,1144
2022,2_county,Connecticut,NA,09190,Western Connecticut COG,B25003_002,152404,1906
2022,2_county,Connecticut,NA,09190,Western Connecticut COG,B25003_003,78103,1793
2022,3_region,Connecticut,NA,NA,Greater New Haven,B25003_001,182705,1723
2022,3_region,Connecticut,NA,NA,Greater New Haven,B25003_002,109354,1673
2022,3_region,Connecticut,NA,NA,Greater New Haven,B25003_003,73351,1782
2022,3_region,Connecticut,NA,NA,New Haven Inner Ring,B25003_001,54324,978
2022,3_region,Connecticut,NA,NA,New Haven Inner Ring,B25003_002,33419,943
2022,3_region,Connecticut,NA,NA,New Haven Inner Ring,B25003_003,20905,949
2022,3_region,Connecticut,NA,NA,New Haven Outer Ring,B25003_001,75404,953
2022,3_region,Connecticut,NA,NA,New Haven Outer Ring,B25003_002,60767,1049
2022,3_region,Connecticut,NA,NA,New Haven Outer Ring,B25003_003,14637,901
2022,4_town,Connecticut,Capitol COG,0911001080,Andover,B25003_001,1158,121
2022,4_town,Connecticut,Capitol COG,0911001080,Andover,B25003_002,1036,114
2022,4_town,Connecticut,Capitol COG,0911001080,Andover,B25003_003,122,78
2022,4_town,Connecticut,Capitol COG,0911002060,Avon,B25003_001,7579,302
